,file_name,is_alpha,text_in_header,is_num,is_alphanum,is_blank,is_nullDefault,all_small,all_capital,starts_capital,contain_colon,contain_special,text_length,year_range,has_merge_cell,right_align,left_align,center_align,italics_font,underline_font,bold_font,left_alpha,left_in_header,left_num,left_alphanum,left_blank,above_alpha,above_in_header,above_num,above_alphanum,above_blank,below_alpha,below_in_header,below_num,below_alphanum,below_blank,right_alpha,right_in_header,right_num,right_alphanum,right_blank,label,K0,K1,K2,K3,K4,K5,K6,K7
16,"00sumdats.xlsx___TSP___[1,17]",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,DC,1.0,-3.0,-3.0,1.0,3.0,-3.0,1.0,1.0
17,"00sumdats.xlsx___TSP___[1,18]",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,DC,1.0,-3.0,-3.0,1.0,3.0,-3.0,1.0,1.0
18,"00sumdats.xlsx___TSP___[1,19]",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,DC,1.0,-3.0,-3.0,1.0,3.0,-3.0,1.0,1.0
19,"00sumdats.xlsx___TSP___[1,20]",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,DC,1.0,-3.0,-3.0,1.0,3.0,-3.0,1.0,1.0
20,"00sumdats.xlsx___TSP___[1,21]",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,DC,1.0,-3.0,-3.0,1.0,3.0,-3.0,1.0,1.0
21,"00sumdats.xlsx___TSP___[1,22]",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,DC,1.0,-3.0,-3.0,1.0,3.0,-3.0,1.0,1.0
22,"00sumdats.xlsx___TSP___[1,23]",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,DC,1.0,-3.0,-3.0,1.0,3.0,-3.0,1.0,1.0
23,"00sumdats.xlsx___TSP___[1,24]",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,DC,1.0,-3.0,-3.0,1.0,3.0,-3.0,1.0,1.0
24,"00sumdats.xlsx___TSP___[1,25]",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,DC,1.0,-3.0,-3.0,1.0,3.0,-3.0,1.0,1.0
25,"00sumdats.xlsx___TSP___[1,26]",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,DC,1.0,-3.0,-3.0,1.0,3.0,-3.0,1.0,1.0
26,"00sumdats.xlsx___TSP___[1,27]",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,DC,1.0,-3.0,-3.0,1.0,3.0,-3.0,1.0,1.0
27,"00sumdats.xlsx___TSP___[1,28]",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,DC,1.0,-3.0,-3.0,1.0,3.0,-3.0,1.0,1.0
28,"00sumdats.xlsx___TSP___[1,29]",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,DC,1.0,-3.0,-3.0,1.0,3.0,-3.0,1.0,1.0
29,"00sumdats.xlsx___TSP___[1,30]",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,DC,1.0,-3.0,-3.0,1.0,3.0,-3.0,1.0,1.0
30,"00sumdats.xlsx___TSP___[1,31]",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,DC,1.0,-3.0,-3.0,1.0,3.0,-3.0,1.0,1.0
31,"00sumdats.xlsx___TSP___[1,32]",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,DC,1.0,-3.0,-3.0,1.0,3.0,-3.0,1.0,1.0
32,"00sumdats.xlsx___TSP___[1,33]",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,DE,1.0,-3.0,-3.0,1.0,3.0,-3.0,1.0,1.0
33,"00sumdats.xlsx___TSP___[1,34]",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,NDC,0.0,-2.0,-2.0,2.0,2.0,-2.0,2.0,0.0
34,"00sumdats.xlsx___TSP___[1,35]",1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,NDC,0.0,-2.0,-2.0,0.0,2.0,-2.0,0.0,0.0
35,"00sumdats.xlsx___TSP___[1,36]",1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,NDC,2.0,-2.0,-2.0,0.0,2.0,-2.0,0.0,2.0
36,"00sumdats.xlsx___TSP___[1,37]",1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,NDC,1.0,-3.0,-3.0,1.0,3.0,-3.0,1.0,1.0
37,"00sumdats.xlsx___TSP___[2,1]",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NDC,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0
38,"00sumdats.xlsx___TSP___[2,2]",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,NDC,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0
39,"00sumdats.xlsx___TSP___[2,3]",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,NDC,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0
40,"00sumdats.xlsx___TSP___[2,4]",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,NDC,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0
41,"00sumdats.xlsx___TSP___[2,5]",1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,CH,2.0,0.0,-2.0,-2.0,2.0,0.0,-2.0,2.0
42,"00sumdats.xlsx___TSP___[2,6]",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,DS,4.0,0.0,-2.0,0.0,4.0,0.0,0.0,4.0
43,"00sumdats.xlsx___TSP___[2,7]",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,DC,2.0,-2.0,-2.0,2.0,6.0,0.0,2.0,2.0
44,"00sumdats.xlsx___TSP___[2,8]",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,DC,2.0,-2.0,-2.0,2.0,6.0,0.0,2.0,2.0
45,"00sumdats.xlsx___TSP___[2,9]",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,DC,2.0,-2.0,-2.0,2.0,6.0,0.0,2.0,2.0
46,"00sumdats.xlsx___TSP___[2,10]",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,DC,2.0,-2.0,-2.0,2.0,6.0,0.0,2.0,2.0
47,"00sumdats.xlsx___TSP___[2,11]",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,DC,2.0,-2.0,-2.0,2.0,6.0,0.0,2.0,2.0
48,"00sumdats.xlsx___TSP___[2,12]",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,DC,2.0,-2.0,-2.0,2.0,6.0,0.0,2.0,2.0
49,"00sumdats.xlsx___TSP___[2,13]",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,DC,2.0,-2.0,-2.0,2.0,6.0,0.0,2.0,2.0
50,"00sumdats.xlsx___TSP___[2,14]",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,DC,2.0,-2.0,-2.0,2.0,6.0,0.0,2.0,2.0
51,"00sumdats.xlsx___TSP___[2,15]",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,DC,2.0,-2.0,-2.0,2.0,6.0,0.0,2.0,2.0
52,"00sumdats.xlsx___TSP___[2,16]",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,DC,2.0,-2.0,-2.0,2.0,6.0,0.0,2.0,2.0
53,"00sumdats.xlsx___TSP___[2,17]",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,DC,2.0,-2.0,-2.0,2.0,6.0,0.0,2.0,2.0
54,"00sumdats.xlsx___TSP___[2,18]",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,DC,2.0,-2.0,-2.0,2.0,6.0,0.0,2.0,2.0
55,"00sumdats.xlsx___TSP___[2,19]",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,DC,2.0,-2.0,-2.0,2.0,6.0,0.0,2.0,2.0
56,"00sumdats.xlsx___TSP___[2,20]",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,DC,2.0,-2.0,-2.0,2.0,6.0,0.0,2.0,2.0
57,"00sumdats.xlsx___TSP___[2,21]",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,DC,2.0,-2.0,-2.0,2.0,6.0,0.0,2.0,2.0
58,"00sumdats.xlsx___TSP___[2,22]",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,DC,2.0,-2.0,-2.0,2.0,6.0,0.0,2.0,2.0
59,"00sumdats.xlsx___TSP___[2,23]",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,DC,2.0,-2.0,-2.0,2.0,6.0,0.0,2.0,2.0
60,"00sumdats.xlsx___TSP___[2,24]",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,DC,2.0,-2.0,-2.0,2.0,6.0,0.0,2.0,2.0
61,"00sumdats.xlsx___TSP___[2,25]",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,DC,2.0,-2.0,-2.0,2.0,6.0,0.0,2.0,2.0
62,"00sumdats.xlsx___TSP___[2,26]",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,DC,2.0,-2.0,-2.0,2.0,6.0,0.0,2.0,2.0
63,"00sumdats.xlsx___TSP___[2,27]",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,DC,2.0,-2.0,-2.0,2.0,6.0,0.0,2.0,2.0
64,"00sumdats.xlsx___TSP___[2,28]",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,DC,2.0,-2.0,-2.0,2.0,6.0,0.0,2.0,2.0
65,"00sumdats.xlsx___TSP___[2,29]",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,DC,2.0,-2.0,-2.0,2.0,6.0,0.0,2.0,2.0
66,"00sumdats.xlsx___TSP___[2,30]",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,DC,2.0,-2.0,-2.0,2.0,6.0,0.0,2.0,2.0
67,"00sumdats.xlsx___TSP___[2,31]",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,DC,2.0,-2.0,-2.0,2.0,6.0,0.0,2.0,2.0
68,"00sumdats.xlsx___TSP___[2,32]",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,DC,2.0,-2.0,-2.0,2.0,6.0,0.0,2.0,2.0
69,"00sumdats.xlsx___TSP___[2,33]",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,DE,2.0,-2.0,-2.0,2.0,6.0,0.0,2.0,2.0
70,"00sumdats.xlsx___TSP___[2,34]",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NDC,0.0,-2.0,0.0,4.0,4.0,0.0,4.0,0.0
71,"00sumdats.xlsx___TSP___[2,35]",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,NDC,-1.0,-1.0,-1.0,1.0,3.0,1.0,1.0,-1.0
72,"00sumdats.xlsx___TSP___[2,36]",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,NDC,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0
73,"00sumdats.xlsx___TSP___[2,37]",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,NDC,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0
74,"00sumdats.xlsx___TSP___[3,1]",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NDC,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0
75,"00sumdats.xlsx___TSP___[3,2]",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,NDC,-2.0,2.0,0.0,-2.0,-2.0,2.0,0.0,2.0
76,"00sumdats.xlsx___TSP___[3,3]",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,NDC,-2.0,0.0,2.0,-2.0,-2.0,2.0,2.0,0.0
77,"00sumdats.xlsx___TSP___[3,4]",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,NDC,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0
78,"00sumdats.xlsx___TSP___[3,5]",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,CH,1.0,1.0,-3.0,-3.0,1.0,1.0,-3.0,3.0
79,"00sumdats.xlsx___TSP___[3,6]",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,DS,2.0,2.0,-2.0,-2.0,2.0,2.0,0.0,6.0
80,"00sumdats.xlsx___TSP___[3,7]",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,DC,-1.0,-1.0,-1.0,-1.0,3.0,3.0,3.0,3.0
81,"00sumdats.xlsx___TSP___[3,8]",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,DC,-1.0,-1.0,-1.0,-1.0,3.0,3.0,3.0,3.0
82,"00sumdats.xlsx___TSP___[3,9]",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,DC,-1.0,-1.0,-1.0,-1.0,3.0,3.0,3.0,3.0
83,"00sumdats.xlsx___TSP___[3,10]",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,DC,-1.0,-1.0,-1.0,-1.0,3.0,3.0,3.0,3.0
84,"00sumdats.xlsx___TSP___[3,11]",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,DC,-1.0,-1.0,-1.0,-1.0,3.0,3.0,3.0,3.0
85,"00sumdats.xlsx___TSP___[3,12]",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,DC,-1.0,-1.0,-1.0,-1.0,3.0,3.0,3.0,3.0
86,"00sumdats.xlsx___TSP___[3,13]",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,DC,-1.0,-1.0,-1.0,-1.0,3.0,3.0,3.0,3.0
87,"00sumdats.xlsx___TSP___[3,14]",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,DC,-1.0,-1.0,-1.0,-1.0,3.0,3.0,3.0,3.0
88,"00sumdats.xlsx___TSP___[3,15]",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,DC,-1.0,-1.0,-1.0,-1.0,3.0,3.0,3.0,3.0
89,"00sumdats.xlsx___TSP___[3,16]",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,DC,-1.0,-1.0,-1.0,-1.0,3.0,3.0,3.0,3.0
90,"00sumdats.xlsx___TSP___[3,17]",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,DC,-1.0,-1.0,-1.0,-1.0,3.0,3.0,3.0,3.0
91,"00sumdats.xlsx___TSP___[3,18]",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,DC,-1.0,-1.0,-1.0,-1.0,3.0,3.0,3.0,3.0
92,"00sumdats.xlsx___TSP___[3,19]",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,DC,-1.0,-1.0,-1.0,-1.0,3.0,3.0,3.0,3.0
93,"00sumdats.xlsx___TSP___[3,20]",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,DC,-1.0,-1.0,-1.0,-1.0,3.0,3.0,3.0,3.0
94,"00sumdats.xlsx___TSP___[3,21]",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,DC,-1.0,-1.0,-1.0,-1.0,3.0,3.0,3.0,3.0
