11a10.xls, Sheet1, data_5192191588589314.xls, Sheet1, 1
GOA2007-Leg1-C14-071508.xls, PE-C001, data_3732999432948232.xls, PE-C001, 1
GOA2007-Leg1-C14-071508.xls, PE-C003, data_3732999432948232.xls, PE-C003, 1
GOA2007-Leg1-C14-071508.xls, PE-C007, data_3732999432948232.xls, PE-C007, 1
GOA2007-Leg1-C14-071508.xls, PE-C012, data_3732999432948232.xls, PE-C012, 1
GOA2007-Leg1-C14-071508.xls, PE-C017, data_3732999432948232.xls, PE-C017, 1
GOA2007-Leg1-C14-071508.xls, PE-C019, data_3732999432948232.xls, PE-C019, 1
GOA2007-Leg1-C14-071508.xls, PE-C023, data_3732999432948232.xls, PE-C023, 1
GOA2007-Leg1-C14-071508.xls, HNLCG1-PE, data_3732999432948232.xls, HNLCG1-PE, 1
GOA2007-Leg1-C14-071508.xls, HNLCG1-D5, data_3732999432948232.xls, HNLCG1-D5, 1
GOA2007-Leg1-C14-071508.xls, PE-GAC1, data_3732999432948232.xls, PE-GAC1, 1
GOA2007-Leg1-C14-071508.xls, PE-GAC6, data_3732999432948232.xls, PE-GAC6, 1
GOA2007-Leg1-C14-071508.xls, PE-GAC10, data_3732999432948232.xls, PE-GAC10, 1
GOA2007-Leg1-C14-071508.xls, PE-C031, data_3732999432948232.xls, PE-C031, 1
GOA2007-Leg1-C14-backup.xls, 081807-LIGHTLEVELS, data_29134356879966117.xls, 081807-LIGHTLEVELS, 1
GOA2007-Leg1-C14-backup.xls, CHLOROPHYLL, data_29134356879966117.xls, CHLOROPHYLL, 1
GOA2007-Leg1-C14-backup.xls, SUMMARY CTD, data_29134356879966117.xls, SUMMARY CTD, 1
GOA2007-Leg1-C14-backup.xls, C001, data_29134356879966117.xls, C001, 1
GOA2007-Leg1-C14-backup.xls, C007, data_29134356879966117.xls, C007, 1
GOA2007-Leg1-C14-backup.xls, C012, data_29134356879966117.xls, C012, 1
GOA2007-Leg1-C14-backup.xls, C017, data_29134356879966117.xls, C017, 1
GOA2007-Leg1-C14-backup.xls, C019, data_29134356879966117.xls, C019, 1
GOA2007-Leg1-C14-backup.xls, C023, data_29134356879966117.xls, C023, 1
GOA2007-Leg1-C14-backup.xls, C024,C025, data_29134356879966117.xls, C024,C025, 1
GOA2007-Leg1-C14-backup.xls, C027, data_29134356879966117.xls, C027, 1
GOA2007-Leg1-C14-backup.xls, C029, data_29134356879966117.xls, C029, 1
GOA2007-Leg1-C14-backup.xls, C030, data_29134356879966117.xls, C030, 1
GOA2007-Leg1-C14-backup.xls, C031, data_29134356879966117.xls, C031, 1
GOA2007-Leg1-C14-backup.xls, HNLCG1, data_29134356879966117.xls, HNLCG1, 1
GOA2007-Leg1-C14-backup.xls, PE1--CG1D0, data_29134356879966117.xls, PE1--CG1D0, 1
GOA2007-Leg1-C14-backup.xls, PE-C001, data_29134356879966117.xls, PE-C001, 1
GOA2007-Leg1-C14-backup.xls, PE-C003, data_29134356879966117.xls, PE-C003, 1
GOA2007-Leg1-C14-backup.xls, PE-C007, data_29134356879966117.xls, PE-C007, 1
GOA2007-Leg1-C14-backup.xls, PE-C012, data_29134356879966117.xls, PE-C012, 1
GOA2007-Leg1-C14-backup.xls, PE-C017, data_29134356879966117.xls, PE-C017, 1
GOA2007-Leg1-C14-backup.xls, PE-C019, data_29134356879966117.xls, PE-C019, 1
GOA2007-Leg1-C14-backup.xls, PE-C023, data_29134356879966117.xls, PE-C023, 1
GOA2007-Leg1-C14-backup.xls, HNLCG1-PE, data_29134356879966117.xls, HNLCG1-PE, 1
GOA2007-Leg1-C14-backup.xls, HNLCG1-D5, data_29134356879966117.xls, HNLCG1-D5, 1
GOA2007-Leg1-C14-backup.xls, PE-GAC1, data_29134356879966117.xls, PE-GAC1, 1
GOA2007-Leg1-C14-backup.xls, PE-GAC6, data_29134356879966117.xls, PE-GAC6, 1
GOA2007-Leg1-C14-backup.xls, PE-GAC10, data_29134356879966117.xls, PE-GAC10, 1
GOA2007-Leg1-C14-backup.xls, PE-C031, data_29134356879966117.xls, PE-C031, 1
GOA2007-Leg1-C14.xls, 081807-LIGHTLEVELS, data_8102441946589776.xls, 081807-LIGHTLEVELS, 1
GOA2007-Leg1-C14.xls, CHLOROPHYLL, data_8102441946589776.xls, CHLOROPHYLL, 1
GOA2007-Leg1-C14.xls, SUMMARY CTD, data_8102441946589776.xls, SUMMARY CTD, 1
GOA2007-Leg1-C14.xls, C001, data_8102441946589776.xls, C001, 1
GOA2007-Leg1-C14.xls, C007, data_8102441946589776.xls, C007, 1
GOA2007-Leg1-C14.xls, C012, data_8102441946589776.xls, C012, 1
GOA2007-Leg1-C14.xls, C017, data_8102441946589776.xls, C017, 1
GOA2007-Leg1-C14.xls, C019, data_8102441946589776.xls, C019, 1
GOA2007-Leg1-C14.xls, C023, data_8102441946589776.xls, C023, 1
GOA2007-Leg1-C14.xls, C024,C025, data_8102441946589776.xls, C024,C025, 1
GOA2007-Leg1-C14.xls, C027, data_8102441946589776.xls, C027, 1
GOA2007-Leg1-C14.xls, C029, data_8102441946589776.xls, C029, 1
GOA2007-Leg1-C14.xls, C030, data_8102441946589776.xls, C030, 1
GOA2007-Leg1-C14.xls, C031, data_8102441946589776.xls, C031, 1
GOA2007-Leg1-C14.xls, HNLCG1, data_8102441946589776.xls, HNLCG1, 1
GOA2007-Leg1-C14.xls, PE1--CG1D0, data_8102441946589776.xls, PE1--CG1D0, 1
GOA2007-Leg1-C14.xls, PE-C001, data_8102441946589776.xls, PE-C001, 1
GOA2007-Leg1-C14.xls, PE-C003, data_8102441946589776.xls, PE-C003, 1
GOA2007-Leg1-C14.xls, PE-C007, data_8102441946589776.xls, PE-C007, 1
GOA2007-Leg1-C14.xls, PE-C012, data_8102441946589776.xls, PE-C012, 1
GOA2007-Leg1-C14.xls, PE-C017, data_8102441946589776.xls, PE-C017, 1
GOA2007-Leg1-C14.xls, PE-C019, data_8102441946589776.xls, PE-C019, 1
GOA2007-Leg1-C14.xls, PE-C023, data_8102441946589776.xls, PE-C023, 1
GOA2007-Leg1-C14.xls, HNLCG1-PE, data_8102441946589776.xls, HNLCG1-PE, 1
GOA2007-Leg1-C14.xls, HNLCG1-D5, data_8102441946589776.xls, HNLCG1-D5, 1
GOA2007-Leg1-C14.xls, PE-GAC1, data_8102441946589776.xls, PE-GAC1, 1
GOA2007-Leg1-C14.xls, PE-GAC6, data_8102441946589776.xls, PE-GAC6, 1
GOA2007-Leg1-C14.xls, PE-GAC10, data_8102441946589776.xls, PE-GAC10, 1
GOA2007-Leg1-C14.xls, PE-C031, data_8102441946589776.xls, PE-C031, 1
GOA2007-Leg1-C14_1.xls, 081807-LIGHTLEVELS, data_8889199894167202.xls, 081807-LIGHTLEVELS, 1
GOA2007-Leg1-C14_1.xls, CHLOROPHYLL, data_8889199894167202.xls, CHLOROPHYLL, 1
GOA2007-Leg1-C14_1.xls, SUMMARY CTD, data_8889199894167202.xls, SUMMARY CTD, 1
GOA2007-Leg1-C14_1.xls, C001, data_8889199894167202.xls, C001, 1
GOA2007-Leg1-C14_1.xls, C007, data_8889199894167202.xls, C007, 1
GOA2007-Leg1-C14_1.xls, C012, data_8889199894167202.xls, C012, 1
GOA2007-Leg1-C14_1.xls, C017, data_8889199894167202.xls, C017, 1
GOA2007-Leg1-C14_1.xls, C019, data_8889199894167202.xls, C019, 1
GOA2007-Leg1-C14_1.xls, C023, data_8889199894167202.xls, C023, 1
GOA2007-Leg1-C14_1.xls, C024&C025, data_8889199894167202.xls, C024&C025, 1
GOA2007-Leg1-C14_1.xls, C027, data_8889199894167202.xls, C027, 1
GOA2007-Leg1-C14_1.xls, C029, data_8889199894167202.xls, C029, 1
GOA2007-Leg1-C14_1.xls, C030, data_8889199894167202.xls, C030, 1
GOA2007-Leg1-C14_1.xls, C031, data_8889199894167202.xls, C031, 1
GOA2007-Leg1-C14_1.xls, HNLCG1, data_8889199894167202.xls, HNLCG1, 1
GOA2007-Leg1-C14_1.xls, PE1--CG1D0, data_8889199894167202.xls, PE1--CG1D0, 1
GOA2007-Leg1-C14_1.xls, PE-C001, data_8889199894167202.xls, PE-C001, 1
GOA2007-Leg1-C14_1.xls, PE-C003, data_8889199894167202.xls, PE-C003, 1
GOA2007-Leg1-C14_1.xls, PE-C007, data_8889199894167202.xls, PE-C007, 1
GOA2007-Leg1-C14_1.xls, PE-C012, data_8889199894167202.xls, PE-C012, 1
GOA2007-Leg1-C14_1.xls, PE-C017, data_8889199894167202.xls, PE-C017, 1
GOA2007-Leg1-C14_1.xls, PE-C019, data_8889199894167202.xls, PE-C019, 1
GOA2007-Leg1-C14_1.xls, PE-C023, data_8889199894167202.xls, PE-C023, 1
GOA2007-Leg1-C14_1.xls, HNLCG1-PE, data_8889199894167202.xls, HNLCG1-PE, 1
GOA2007-Leg1-C14_1.xls, HNLCG1-D5, data_8889199894167202.xls, HNLCG1-D5, 1
GOA2007-Leg1-C14_1.xls, PE-GAC1, data_8889199894167202.xls, PE-GAC1, 1
GOA2007-Leg1-C14_1.xls, PE-GAC6, data_8889199894167202.xls, PE-GAC6, 1
GOA2007-Leg1-C14_1.xls, PE-GAC10, data_8889199894167202.xls, PE-GAC10, 1
GOA2007-Leg1-C14_1.xls, PE-C031, data_8889199894167202.xls, PE-C031, 1
latlongcounts.xls, latlongcounts, data_8139634387273096.xls, latlongcounts, 1
OC1203A.xls, Sheet1, data_8314891138722956.xls, Sheet1, 1
OC1203A.xls, Sheet2, data_8314891138722956.xls, Sheet2, 1
OC1203A.xls, Sheet3, data_8314891138722956.xls, Sheet3, 1
Transect2NutrientSummary.xls, Sheet1, data_24145651607447294.xls, Sheet1, 1
Transect2NutrientSummary.xls, Sheet2, data_24145651607447294.xls, Sheet2, 1
Transect2NutrientSummary.xls, Sheet3, data_24145651607447294.xls, Sheet3, 1
Transect2NutrientSummary_TP.xls, Sheet1, data_42718894724373346.xls, Sheet1, 1
Transect2NutrientSummary_TP.xls, Sheet4, data_42718894724373346.xls, Sheet4, 1
Transect2NutrientSummary_TP.xls, Sheet2, data_42718894724373346.xls, Sheet2, 1
Transect2NutrientSummary_TP.xls, Sheet3, data_42718894724373346.xls, Sheet3, 1
Transect2NutrientSummary_TP1.xls, Sheet1, data_945605176642907.xls, Sheet1, 1
Transect2NutrientSummary_TP1.xls, Sheet4, data_945605176642907.xls, Sheet4, 1
Transect2NutrientSummary_TP1.xls, Sheet2, data_945605176642907.xls, Sheet2, 1
Transect2NutrientSummary_TP1.xls, Sheet3, data_945605176642907.xls, Sheet3, 1
W1109D-v2.xls, Sheet1, data_137387280898987.xls, Sheet1, 1
W1109D-v2.xls, Sheet2, data_137387280898987.xls, Sheet2, 1
W1109D-v2.xls, Sheet3, data_137387280898987.xls, Sheet3, 1
11a10.xls, Sheet1, data_5957659199814398.xls, Sheet1, 1
11a10.xlsx, Sheet1, data_16952938997884792.xls, Sheet1, 1
1810.xls, Sheet1, data_38644559656706035.xls, Sheet1, 1
1910.xls, Sheet1, data_28392889235033025.xls, Sheet1, 1
201007_Wecoma_water_sample_bacteria_production.xls, metadata, data_2951215456184184.xls, metadata, 1
201007_Wecoma_water_sample_bacteria_production.xls, data, data_2951215456184184.xls, data, 1
201007_Wecoma_water_sample_bacteria_production.xls, Sheet3, data_2951215456184184.xls, Sheet3, 1
201007_Wecoma_water_sample_dissolved_organic_carbon.xls, metadata, data_45986875653764236.xls, metadata, 1
201007_Wecoma_water_sample_dissolved_organic_carbon.xls, data, data_45986875653764236.xls, data, 1
201007_Wecoma_water_sample_dissolved_organic_carbon.xls, Sheet3, data_45986875653764236.xls, Sheet3, 1
201007_Wecoma_water_sample_particulate_organic_carbon_nitrogen.xls, metadata, data_9698980058921856.xls, metadata, 1
201007_Wecoma_water_sample_particulate_organic_carbon_nitrogen.xls, data, data_9698980058921856.xls, data, 1
201007_Wecoma_water_sample_particulate_organic_carbon_nitrogen.xls, Sheet3, data_9698980058921856.xls, Sheet3, 1
201007_Wecoma_water_sample_suspended_particulate_matter_0.xls, metadata, data_007083138179836634.xls, metadata, 1
201007_Wecoma_water_sample_suspended_particulate_matter_0.xls, data, data_007083138179836634.xls, data, 1
201007_Wecoma_water_sample_suspended_particulate_matter_0.xls, Sheet3, data_007083138179836634.xls, Sheet3, 1
201007_Wecoma_water_sample_total_dissolved_nitrogen_phosphorous.xls, metadata, data_5261737256273314.xls, metadata, 1
201007_Wecoma_water_sample_total_dissolved_nitrogen_phosphorous.xls, data, data_5261737256273314.xls, data, 1
201007_Wecoma_water_sample_total_dissolved_nitrogen_phosphorous.xls, Sheet3, data_5261737256273314.xls, Sheet3, 1
2310.xls, Sheet1, data_4913809014122238.xls, Sheet1, 1
2610.xls, Sheet1, data_6549914811279967.xls, Sheet1, 1
26a10.xls, Sheet1, data_801877541111331.xls, Sheet1, 1
910.xls, Sheet1, data_397750861490893.xls, Sheet1, 1
Analytics_DNH_Research_Edition_Top_Events_20120118-20120119afxdrankalttry.xls, Analytics_DNH_Research_Edition_, data_09899675501111493.xls, Analytics_DNH_Research_Edition_, 1
Chl-Wecoma-Aug2010.xls, Sheet1, data_18206934212286985.xls, Sheet1, 1
CMOP_Cruise_July2010_correctedLydie24Mar2011.xls, dataLog, data_4902383799854735.xls, dataLog, 1
dnhperftbls.xls, dnhperf, data_839237908938381.xls, dnhperf, 1
dnhperftbls.xls, 8f relaxation, data_839237908938381.xls, 8f relaxation, 1
dnhperftbls.xls, 8f variables, data_839237908938381.xls, 8f variables, 1
dnhperftbls8f.xls, 8f relaxation, data_4118571861032335.xls, 8f relaxation, 1
GOA2007-Leg1-C14-071508.xls, 081807-LIGHTLEVELS, data_28438515847793444.xls, 081807-LIGHTLEVELS, 1
GOA2007-Leg1-C14-071508.xls, CHLOROPHYLL, data_28438515847793444.xls, CHLOROPHYLL, 1
GOA2007-Leg1-C14-071508.xls, SUMMARY CTD, data_28438515847793444.xls, SUMMARY CTD, 1
GOA2007-Leg1-C14-071508.xls, C001, data_28438515847793444.xls, C001, 1
GOA2007-Leg1-C14-071508.xls, C007, data_28438515847793444.xls, C007, 1
GOA2007-Leg1-C14-071508.xls, C012, data_28438515847793444.xls, C012, 1
GOA2007-Leg1-C14-071508.xls, C017, data_28438515847793444.xls, C017, 1
GOA2007-Leg1-C14-071508.xls, C019, data_28438515847793444.xls, C019, 1
GOA2007-Leg1-C14-071508.xls, C023, data_28438515847793444.xls, C023, 1
GOA2007-Leg1-C14-071508.xls, C024,C025, data_28438515847793444.xls, C024,C025, 1
GOA2007-Leg1-C14-071508.xls, C027, data_28438515847793444.xls, C027, 1
GOA2007-Leg1-C14-071508.xls, C029, data_28438515847793444.xls, C029, 1
GOA2007-Leg1-C14-071508.xls, C030, data_28438515847793444.xls, C030, 1
GOA2007-Leg1-C14-071508.xls, C031, data_28438515847793444.xls, C031, 1
GOA2007-Leg1-C14-071508.xls, HNLCG1, data_28438515847793444.xls, HNLCG1, 1
GOA2007-Leg1-C14-071508.xls, PE1--CG1D0, data_28438515847793444.xls, PE1--CG1D0, 1
GOA2007-Leg1-C14-071508.xls, PE-C001, data_28438515847793444.xls, PE-C001, 1
GOA2007-Leg1-C14-071508.xls, PE-C003, data_28438515847793444.xls, PE-C003, 1
GOA2007-Leg1-C14-071508.xls, PE-C007, data_28438515847793444.xls, PE-C007, 1
GOA2007-Leg1-C14-071508.xls, PE-C012, data_28438515847793444.xls, PE-C012, 1
GOA2007-Leg1-C14-071508.xls, PE-C017, data_28438515847793444.xls, PE-C017, 1
GOA2007-Leg1-C14-071508.xls, PE-C019, data_28438515847793444.xls, PE-C019, 1
GOA2007-Leg1-C14-071508.xls, PE-C023, data_28438515847793444.xls, PE-C023, 1
GOA2007-Leg1-C14-071508.xls, HNLCG1-PE, data_28438515847793444.xls, HNLCG1-PE, 1
GOA2007-Leg1-C14-071508.xls, HNLCG1-D5, data_28438515847793444.xls, HNLCG1-D5, 1
GOA2007-Leg1-C14-071508.xls, PE-GAC1, data_28438515847793444.xls, PE-GAC1, 1
GOA2007-Leg1-C14-071508.xls, PE-GAC6, data_28438515847793444.xls, PE-GAC6, 1
GOA2007-Leg1-C14-071508.xls, PE-GAC10, data_28438515847793444.xls, PE-GAC10, 1
GOA2007-Leg1-C14-071508.xls, PE-C031, data_28438515847793444.xls, PE-C031, 1
GOA2007-Leg1-C14-backup.xls, 081807-LIGHTLEVELS, data_9797957757420135.xls, 081807-LIGHTLEVELS, 1
GOA2007-Leg1-C14-backup.xls, CHLOROPHYLL, data_9797957757420135.xls, CHLOROPHYLL, 1
GOA2007-Leg1-C14-backup.xls, SUMMARY CTD, data_9797957757420135.xls, SUMMARY CTD, 1
GOA2007-Leg1-C14-backup.xls, C001, data_9797957757420135.xls, C001, 1
GOA2007-Leg1-C14-backup.xls, C007, data_9797957757420135.xls, C007, 1
GOA2007-Leg1-C14-backup.xls, C012, data_9797957757420135.xls, C012, 1
GOA2007-Leg1-C14-backup.xls, C017, data_9797957757420135.xls, C017, 1
GOA2007-Leg1-C14-backup.xls, C019, data_9797957757420135.xls, C019, 1
GOA2007-Leg1-C14-backup.xls, C023, data_9797957757420135.xls, C023, 1
GOA2007-Leg1-C14-backup.xls, C024,C025, data_9797957757420135.xls, C024,C025, 1
GOA2007-Leg1-C14-backup.xls, C027, data_9797957757420135.xls, C027, 1
GOA2007-Leg1-C14-backup.xls, C029, data_9797957757420135.xls, C029, 1
GOA2007-Leg1-C14-backup.xls, C030, data_9797957757420135.xls, C030, 1
GOA2007-Leg1-C14-backup.xls, C031, data_9797957757420135.xls, C031, 1
GOA2007-Leg1-C14-backup.xls, HNLCG1, data_9797957757420135.xls, HNLCG1, 1
GOA2007-Leg1-C14-backup.xls, PE1--CG1D0, data_9797957757420135.xls, PE1--CG1D0, 1
GOA2007-Leg1-C14-backup.xls, PE-C001, data_9797957757420135.xls, PE-C001, 1
GOA2007-Leg1-C14-backup.xls, PE-C003, data_9797957757420135.xls, PE-C003, 1
GOA2007-Leg1-C14-backup.xls, PE-C007, data_9797957757420135.xls, PE-C007, 1
GOA2007-Leg1-C14-backup.xls, PE-C012, data_9797957757420135.xls, PE-C012, 1
GOA2007-Leg1-C14-backup.xls, PE-C017, data_9797957757420135.xls, PE-C017, 1
GOA2007-Leg1-C14-backup.xls, PE-C019, data_9797957757420135.xls, PE-C019, 1
GOA2007-Leg1-C14-backup.xls, PE-C023, data_9797957757420135.xls, PE-C023, 1
GOA2007-Leg1-C14-backup.xls, HNLCG1-PE, data_9797957757420135.xls, HNLCG1-PE, 1
GOA2007-Leg1-C14-backup.xls, HNLCG1-D5, data_9797957757420135.xls, HNLCG1-D5, 1
GOA2007-Leg1-C14-backup.xls, PE-GAC1, data_9797957757420135.xls, PE-GAC1, 1
GOA2007-Leg1-C14-backup.xls, PE-GAC6, data_9797957757420135.xls, PE-GAC6, 1
GOA2007-Leg1-C14-backup.xls, PE-GAC10, data_9797957757420135.xls, PE-GAC10, 1
GOA2007-Leg1-C14-backup.xls, PE-C031, data_9797957757420135.xls, PE-C031, 1
GOA2007-Leg1-C14.xls, 081807-LIGHTLEVELS, data_9945638625712953.xls, 081807-LIGHTLEVELS, 1
GOA2007-Leg1-C14.xls, CHLOROPHYLL, data_9945638625712953.xls, CHLOROPHYLL, 1
GOA2007-Leg1-C14.xls, SUMMARY CTD, data_9945638625712953.xls, SUMMARY CTD, 1
GOA2007-Leg1-C14.xls, C001, data_9945638625712953.xls, C001, 1
GOA2007-Leg1-C14.xls, C007, data_9945638625712953.xls, C007, 1
GOA2007-Leg1-C14.xls, C012, data_9945638625712953.xls, C012, 1
GOA2007-Leg1-C14.xls, C017, data_9945638625712953.xls, C017, 1
GOA2007-Leg1-C14.xls, C019, data_9945638625712953.xls, C019, 1
GOA2007-Leg1-C14.xls, C023, data_9945638625712953.xls, C023, 1
GOA2007-Leg1-C14.xls, C024,C025, data_9945638625712953.xls, C024,C025, 1
GOA2007-Leg1-C14.xls, C027, data_9945638625712953.xls, C027, 1
GOA2007-Leg1-C14.xls, C029, data_9945638625712953.xls, C029, 1
GOA2007-Leg1-C14.xls, C030, data_9945638625712953.xls, C030, 1
GOA2007-Leg1-C14.xls, C031, data_9945638625712953.xls, C031, 1
GOA2007-Leg1-C14.xls, HNLCG1, data_9945638625712953.xls, HNLCG1, 1
GOA2007-Leg1-C14.xls, PE1--CG1D0, data_9945638625712953.xls, PE1--CG1D0, 1
GOA2007-Leg1-C14.xls, PE-C001, data_9945638625712953.xls, PE-C001, 1
GOA2007-Leg1-C14.xls, PE-C003, data_9945638625712953.xls, PE-C003, 1
GOA2007-Leg1-C14.xls, PE-C007, data_9945638625712953.xls, PE-C007, 1
GOA2007-Leg1-C14.xls, PE-C012, data_9945638625712953.xls, PE-C012, 1
GOA2007-Leg1-C14.xls, PE-C017, data_9945638625712953.xls, PE-C017, 1
GOA2007-Leg1-C14.xls, PE-C019, data_9945638625712953.xls, PE-C019, 1
GOA2007-Leg1-C14.xls, PE-C023, data_9945638625712953.xls, PE-C023, 1
GOA2007-Leg1-C14.xls, HNLCG1-PE, data_9945638625712953.xls, HNLCG1-PE, 1
GOA2007-Leg1-C14.xls, HNLCG1-D5, data_9945638625712953.xls, HNLCG1-D5, 1
GOA2007-Leg1-C14.xls, PE-GAC1, data_9945638625712953.xls, PE-GAC1, 1
GOA2007-Leg1-C14.xls, PE-GAC6, data_9945638625712953.xls, PE-GAC6, 1
GOA2007-Leg1-C14.xls, PE-GAC10, data_9945638625712953.xls, PE-GAC10, 1
GOA2007-Leg1-C14.xls, PE-C031, data_9945638625712953.xls, PE-C031, 1
GOA2007-Leg1-C14_1.xls, 081807-LIGHTLEVELS, data_7507579598352871.xls, 081807-LIGHTLEVELS, 1
GOA2007-Leg1-C14_1.xls, CHLOROPHYLL, data_7507579598352871.xls, CHLOROPHYLL, 1
GOA2007-Leg1-C14_1.xls, SUMMARY CTD, data_7507579598352871.xls, SUMMARY CTD, 1
GOA2007-Leg1-C14_1.xls, C001, data_7507579598352871.xls, C001, 1
GOA2007-Leg1-C14_1.xls, C007, data_7507579598352871.xls, C007, 1
GOA2007-Leg1-C14_1.xls, C012, data_7507579598352871.xls, C012, 1
GOA2007-Leg1-C14_1.xls, C017, data_7507579598352871.xls, C017, 1
GOA2007-Leg1-C14_1.xls, C019, data_7507579598352871.xls, C019, 1
GOA2007-Leg1-C14_1.xls, C023, data_7507579598352871.xls, C023, 1
GOA2007-Leg1-C14_1.xls, C024&C025, data_7507579598352871.xls, C024&C025, 1
GOA2007-Leg1-C14_1.xls, C027, data_7507579598352871.xls, C027, 1
GOA2007-Leg1-C14_1.xls, C029, data_7507579598352871.xls, C029, 1
GOA2007-Leg1-C14_1.xls, C030, data_7507579598352871.xls, C030, 1
GOA2007-Leg1-C14_1.xls, C031, data_7507579598352871.xls, C031, 1
GOA2007-Leg1-C14_1.xls, HNLCG1, data_7507579598352871.xls, HNLCG1, 1
GOA2007-Leg1-C14_1.xls, PE1--CG1D0, data_7507579598352871.xls, PE1--CG1D0, 1
GOA2007-Leg1-C14_1.xls, PE-C001, data_7507579598352871.xls, PE-C001, 1
GOA2007-Leg1-C14_1.xls, PE-C003, data_7507579598352871.xls, PE-C003, 1
GOA2007-Leg1-C14_1.xls, PE-C007, data_7507579598352871.xls, PE-C007, 1
GOA2007-Leg1-C14_1.xls, PE-C012, data_7507579598352871.xls, PE-C012, 1
